Url,Edition,Venue,City,Date and Time,Stage,Score,Home Country,Home Country Small,Home Country Scorer,Home Country Scorer Time,Away Country ,Away Country Small,Away Country Scorer,Away Country Scorer Time
http://www.fifa.com/worldcup/matches/round=255951/match=300186491/index.html#nosticky,2014 FIFA World Cup Brazil™,Estadio do Maracana,Rio De Janeiro  (BRA),28 Jun 2014 - 17:00 Local time,Round of 16,2-0,Colombia,COL,['JAMES'],"[""28', 50'""]",Uruguay,URU,[],[]
http://www.fifa.com/worldcup/matches/round=255951/match=300186487/index.html#nosticky,2014 FIFA World Cup Brazil™,Estadio Mineirao,Belo Horizonte  (BRA),28 Jun 2014 - 13:00 Local time,Round of 16,1-1,Brazil,BRA,['DAVID LUIZ'],"[""18'""]",Chile,CHI,['ALEXIS'],"[""32'""]"
http://www.fifa.com/worldcup/matches/round=255931/match=300186513/index.html#nosticky,2014 FIFA World Cup Brazil™,Arena Amazonia,Manaus  (BRA),14 Jun 2014 - 18:00 Local time,First stage - Group D,1-2,England,ENG,['STURRIDGE'],"[""37'""]",Italy,ITA,"['MARCHISIO', 'BALOTELLI']","[""35'"", ""50'""]"
http://www.fifa.com/worldcup/matches/round=255931/match=300186493/index.html#nosticky,2014 FIFA World Cup Brazil™,Estadio Castelao,Fortaleza  (BRA),21 Jun 2014 - 16:00 Local time,First stage - Group G,2-2,Germany,GER,"['GÖTZE', 'KLOSE']","[""51'"", ""71'""]",Ghana,GHA,"['A. AYEW', 'A. GYAN']","[""54'"", ""63'""]"
http://www.fifa.com/worldcup/matches/round=255951/match=300186462/index.html#nosticky,2014 FIFA World Cup Brazil™,Estadio Nacional,Brasilia  (BRA),30 Jun 2014 - 13:00 Local time,Round of 16,2-0,France,FRA,"['POGBA', 'YOBO']","[""79'"", ""90'+2 OG""]",Nigeria,NGA,[],[]
http://www.fifa.com/worldcup/matches/round=255931/match=300186455/index.html#nosticky,2014 FIFA World Cup Brazil™,Estadio Castelao,Fortaleza  (BRA),24 Jun 2014 - 17:00 Local time,First stage - Group C,2-1,Greece,GRE,"['SAMARIS', 'SAMARAS']","[""42'"", ""90'+3 PEN""]",Côte d'Ivoire,CIV,['B. WILFRIED'],"[""74'""]"
http://www.fifa.com/worldcup/matches/round=255931/match=300186478/index.html#nosticky,2014 FIFA World Cup Brazil™,Estadio Beira-Rio,Porto Alegre  (BRA),18 Jun 2014 - 13:00 Local time,First stage - Group B,2-3,Australia,AUS,"['CAHILL', 'JEDINAK']","[""21'"", ""54' PEN""]",Netherlands,NED,"['ROBBEN', 'V. PERSIE', 'MEMPHIS']","[""20'"", ""58'"", ""68'""]"
http://www.fifa.com/worldcup/matches/round=255951/match=300186460/index.html#nosticky,2014 FIFA World Cup Brazil™,Estadio Beira-Rio,Porto Alegre  (BRA),30 Jun 2014 - 17:00 Local time,Round of 16,2-1,Germany,GER,"['SCHÜRRLE', 'ÖZIL']","[""92'"", ""120'""]",Algeria,ALG,['DJABOU'],"[""120'+1""]"
http://www.fifa.com/worldcup/matches/round=255931/match=300186505/index.html#nosticky,2014 FIFA World Cup Brazil™,Arena da Baixada,Curitiba  (BRA),16 Jun 2014 - 16:00 Local time,First stage - Group F,0-0,Iran,IRN,[],[],Nigeria,NGA,[],[]
http://www.fifa.com/worldcup/matches/round=255931/match=300186483/index.html#nosticky,2014 FIFA World Cup Brazil™,Arena Amazonia,Manaus  (BRA),22 Jun 2014 - 18:00 Local time,First stage - Group G,2-2,USA,USA,"['JONES', 'DEMPSEY']","[""64'"", ""81'""]",Portugal,POR,"['NANI', 'VARELA']","[""5'"", ""90'+5""]"
http://www.fifa.com/worldcup/matches/round=255953/match=300186461/index.html#nosticky,2014 FIFA World Cup Brazil™,Estadio Castelao,Fortaleza  (BRA),04 Jul 2014 - 17:00 Local time,Quarter-finals,2-1,Brazil,BRA,"['T SILVA', 'DAVID LUIZ']","[""7'"", ""69'""]",Colombia,COL,['JAMES'],"[""80' PEN""]"
